date,TE_icpi_to_open,TE_open_to_icpi,TE_net
2016-06-29,1.2619723018833022,1.3213773092251988,-0.059405007341896576
2016-06-30,1.2304409791387039,1.3199712276839288,-0.08953024854522496
2016-07-01,1.2246804044097455,1.3127378033724415,-0.08805739896269604
2016-07-04,1.247045602752855,1.3116008338510166,-0.06455523109816164
2016-07-05,1.2501729793691718,1.2812262636775242,-0.031053284308352413
2016-07-06,1.2474849080135004,1.272159732954218,-0.0246748249407176
2016-07-07,1.2496842955790457,1.2791027655564227,-0.02941846997737696
2016-07-08,1.2571249327589487,1.2706221137240135,-0.013497180965064803
2016-07-11,1.273043385723921,1.2857756364436617,-0.012732250719740712
2016-07-12,1.2683488272464922,1.2908460876662442,-0.022497260419751974
2016-07-13,1.272659750725994,1.2899853802021766,-0.017325629476182547
2016-07-14,1.264951806109188,1.2996616047272602,-0.03470979861807222
2016-07-15,1.2481142210956104,1.3122538798208743,-0.06413965872526384
2016-07-18,1.2422581542834354,1.3168209050638737,-0.07456275078043828
2016-07-19,1.2426920773731445,1.2876508959476052,-0.04495881857446071
2016-07-20,1.2356469789114422,1.2905801944103032,-0.0549332154988611
2016-07-21,1.2453220194254304,1.2862225948649832,-0.04090057543955283
2016-07-22,1.2560596226786007,1.2987361715005064,-0.042676548821905635
2016-07-25,1.2563533612873938,1.304816091552694,-0.048462730265300236
2016-07-26,1.2579225624727357,1.2904905759794718,-0.032568013506736104
2016-07-27,1.268734959478093,1.2770756146040998,-0.00834065512600679
2016-07-28,1.2673970343445478,1.3000688790704662,-0.03267184472591844
2016-07-29,1.2660022782986138,1.2939556477885303,-0.027953369489916557
2016-08-01,1.2776986454854888,1.2993909520697844,-0.02169230658429555
2016-08-02,1.2770536214747783,1.294962743051328,-0.01790912157654967
2016-08-03,1.277315119706566,1.307070551359073,-0.029755431652507047
2016-08-04,1.267914690781815,1.3132015833315036,-0.04528689254968854
2016-08-05,1.2575170683775612,1.3031978971471434,-0.04568082876958224
2016-08-08,1.2570482170065478,1.3108531364963862,-0.053804919489838454
2016-08-09,1.2510333441945107,1.3093721458566363,-0.05833880166212557
2016-08-10,1.2473401451136705,1.3018217545269193,-0.054481609413248755
2016-08-11,1.247989876678902,1.3200838655264766,-0.07209398884757467
2016-08-12,1.2572365915679435,1.328401916973236,-0.07116532540529241
2016-08-15,1.2643815844275732,1.312938192962623,-0.04855660853504973
2016-08-16,1.2749964865412253,1.3298966853129823,-0.054900198771757
2016-08-17,1.2695819367154213,1.3205159912541435,-0.05093405453872224
2016-08-18,1.2608753212824741,1.3276975633846018,-0.06682224210212762
2016-08-19,1.2657938738154915,1.3219835410791563,-0.05618966726366481
2016-08-22,1.2479273692952209,1.3283768609288242,-0.08044949163360338
2016-08-23,1.2521652449894027,1.323812089440984,-0.0716468444515812
2016-08-24,1.2698787954400008,1.3202584859680175,-0.05037969052801672
2016-08-25,1.2832294038430991,1.2788574283565337,0.004371975486565427
2016-08-26,1.284270821915237,1.2525447559983036,0.03172606591693339
2016-08-29,1.274121018275084,1.249228428196484,0.024892590078599897
2016-08-30,1.2924142450351241,1.2359113967834783,0.056502848251645865
2016-08-31,1.3123174898537981,1.2383132290146082,0.07400426083918998
2016-09-01,1.304530643264002,1.2651817965072718,0.03934884675673023
2016-09-02,1.3055788182765056,1.2843447456862198,0.021234072590285757
2016-09-05,1.3060558065761538,1.2605100363813537,0.045545770194800106
2016-09-06,1.2892840959487861,1.250364147215465,0.038919948733321164
2016-09-07,1.303198063024084,1.256335354604505,0.04686270841957896
2016-09-08,1.2921231571473109,1.238158011459342,0.05396514568796884
2016-09-09,1.2814892773883066,1.227582396673083,0.05390688071522365
2016-09-12,1.273009232396346,1.2310517461046515,0.04195748629169449
2016-09-13,1.2909093119243384,1.231480895132957,0.059428416791381444
2016-09-14,1.294641684435879,1.2429591500830572,0.051682534352821774
2016-09-19,1.3132187779634479,1.2386466421851623,0.07457213577828559
2016-09-20,1.301638444834066,1.2413282179117378,0.06031022692232835
2016-09-21,1.2897430284868354,1.2414035075895355,0.04833952089729987
2016-09-22,1.3021148295189713,1.2355587369066907,0.06655609261228057
2016-09-23,1.3062576271150153,1.2403499250029635,0.06590770211205177
2016-09-26,1.3078138830264054,1.2479369677287866,0.05987691529761885
2016-09-27,1.3337757384296312,1.2497393085141781,0.08403642991545301
2016-09-28,1.318600642141855,1.2640153146297533,0.05458532751210177
2016-09-29,1.3176046037982732,1.245555499499604,0.07204910429866906
2016-09-30,1.2989762272229493,1.2533314095454204,0.045644817677528815
2016-10-10,1.2894129804241734,1.2564052360597096,0.033007744364463854
2016-10-11,1.275137416427344,1.2459429679557112,0.02919444847163266
2016-10-12,1.2541878070606443,1.2451590613208603,0.009028745739783961
2016-10-13,1.2656715755249446,1.243686389297341,0.02198518622760348
2016-10-14,1.265565210845545,1.2401790366374459,0.025386174208099188
2016-10-17,1.2668562797304483,1.2537439527731964,0.013112326957251952
2016-10-18,1.2539003963442883,1.241727516701295,0.012172879642993184
2016-10-19,1.2422958631304755,1.2471831271141454,-0.004887263983669898
2016-10-20,1.2515539936999973,1.2447001179885637,0.006853875711433588
2016-10-21,1.2626248214834086,1.2471207026571411,0.015504118826267455
2016-10-24,1.2564087880191672,1.2551208378382337,0.001287950180933528
2016-10-25,1.25807136587499,1.269017522931198,-0.010946157056207939
2016-10-26,1.2489144851200058,1.2671589862645858,-0.018244501144579983
2016-10-27,1.2496819081824277,1.2672463099534732,-0.017564401771045457
2016-10-28,1.247169255636531,1.2672463099534734,-0.0200770543169424
2016-10-31,1.2392634436540813,1.2756881270817313,-0.03642468342765004
2016-11-01,1.2247455155458922,1.2752634474727562,-0.050517931926864046
2016-11-02,1.2283454042403756,1.2841451396475896,-0.055799735407213946
2016-11-03,1.2321238017347207,1.2792391607729237,-0.047115359038202964
2016-11-04,1.2242282215496416,1.2971749814216582,-0.0729467598720166
2016-11-07,1.2190880251310081,1.2996657712254793,-0.08057774609447121
2016-11-08,1.2176937085973196,1.2985611626595592,-0.08086745406223961
2016-11-09,1.224351753058604,1.3054316383491769,-0.08107988529057275
2016-11-10,1.2541115289705582,1.32718619128349,-0.07307466231293169
2016-11-11,1.2589518039378709,1.3202066127258922,-0.061254808788021364
2016-11-14,1.2547481340589242,1.3175977808797723,-0.06284964682084815
2016-11-15,1.2563316303939744,1.3202985656403745,-0.06396693524640007
2016-11-16,1.2594603527263137,1.3233190995141753,-0.06385874678786152
2016-11-17,1.2620754045644822,1.314465220254105,-0.052389815689622754
2016-11-18,1.2532937548170768,1.316667677580987,-0.06337392276391007
2016-11-21,1.2466903832201566,1.3125252776734575,-0.06583489445330093
2016-11-22,1.2526356687092477,1.298625716808976,-0.0459900480997284
2016-11-23,1.242951871621697,1.2842000944605796,-0.04124822283888263
2016-11-24,1.2427957941546923,1.2889982384327492,-0.046202444278056864
2016-11-25,1.2511053314501532,1.3011447787388377,-0.05003944728868448
2016-11-28,1.2375720190665134,1.2966864358137489,-0.0591144167472355
2016-11-29,1.234375193029535,1.2931759312828683,-0.05880073825333332
2016-11-30,1.2353745551802724,1.285210153162121,-0.049835597981848556
2016-12-01,1.2346080157716626,1.3151137930014656,-0.08050577722980301
2016-12-02,1.2284233411151777,1.3238633173822565,-0.09543997626707879
2016-12-05,1.255507256020004,1.3239778160148516,-0.06847055999484764
2016-12-06,1.2558324791260054,1.3361541015347258,-0.08032162240872043
2016-12-07,1.2658566383341534,1.3237327374230892,-0.05787609908893576
2016-12-08,1.2688442177970933,1.3258216538111174,-0.05697743601402405
2016-12-09,1.277827746759065,1.3268032336576812,-0.04897548689861608
2016-12-12,1.2731052813163626,1.3315405281621013,-0.05843524684573875
2016-12-13,1.2703699024174946,1.3221545036229398,-0.05178460120544526
2016-12-14,1.2678961518623248,1.3069465343955673,-0.039050382533242445
2016-12-15,1.2653296480660616,1.3190310353468273,-0.05370138728076568
2016-12-16,1.2633527051462166,1.3207010333156814,-0.05734832816946489
2016-12-19,1.2535015816521402,1.309703603648686,-0.05620202199654578
2016-12-20,1.2568648985080029,1.2977940700106994,-0.04092917150269648
2016-12-21,1.2619734920160406,1.3006560369301416,-0.03868254491410106
2016-12-22,1.2610131411616217,1.3097389051411226,-0.0487257639795009
2016-12-23,1.2656563472177704,1.2983818982017497,-0.032725550983979224
2016-12-26,1.2682774495216038,1.290077189851246,-0.02179974032964216
2016-12-27,1.2587142100030062,1.3045916928456474,-0.04587748284264115
2016-12-28,1.259297134954253,1.3198449609343628,-0.06054782598010977
2016-12-29,1.270561758560299,1.311456929987678,-0.04089517142737886
2016-12-30,1.2690838130319615,1.309227560995532,-0.04014374796357045
2017-01-02,1.2724865993150454,1.2927123678394832,-0.020225768524437804
2017-01-03,1.2643380787313205,1.304230429051433,-0.03989235032011251
2017-01-04,1.2716956961739876,1.3059883958598364,-0.034292699685848804
2017-01-05,1.2700269888599696,1.3125947993352431,-0.04256781047527358
2017-01-06,1.2895577919681347,1.3308909523545083,-0.04133316038637358
2017-01-09,1.282960636274223,1.3275685707469618,-0.04460793447273881
2017-01-10,1.2798243520474857,1.329048866979251,-0.049224514931765384
2017-01-11,1.2677008465602213,1.3272246757081005,-0.05952382914787924
