date,open,ICPI,open_norm,ICPI_norm
2016-04-01,5100.0,-0.24608387519119146,0.03110047846889952,0.5499186360897896
2016-04-06,5135.0,-0.478198805969398,0.039473684210526314,0.5235616583665821
2016-04-07,5075.0,-1.8013875524645793,0.025119617224880382,0.37331171021354004
2016-04-08,5015.0,-0.6554988764384054,0.01076555023923445,0.5034289853325493
2016-04-11,5050.0,-0.081090321187609,0.019138755980861243,0.5686538868242658
2016-04-12,5005.0,-0.3616385984143676,0.008373205741626795,0.5367972343101044
2016-04-13,5035.0,-0.7865391346280044,0.01555023923444976,0.4885491792194007
2016-04-14,4975.0,-0.54563829621768,0.0011961722488038277,0.5159038091443064
2016-04-15,5020.0,-0.44161221569580855,0.011961722488038277,0.5277161172873248
2016-04-18,4970.0,-0.04944240267179251,0.0,0.572247552602295
2016-04-19,5015.0,-0.5947933060788815,0.01076555023923445,0.5103221884551414
2016-04-20,5015.0,-1.8837415289516168,0.01076555023923445,0.3639603000461325
2016-04-21,5115.0,-0.7729377812672891,0.034688995215311005,0.49009363207442364
2016-04-22,5175.0,-0.14854191975603745,0.04904306220095694,0.5609946626851621
2016-04-25,5120.0,-0.3674508350859595,0.03588516746411483,0.5361372466395071
2016-04-26,5235.0,-0.4538320866718578,0.06339712918660287,0.5263285337052762
2016-04-27,5255.0,-1.8779422697371984,0.06818181818181818,0.36461881410816666
2016-04-28,5265.0,-1.233295661952228,0.07057416267942583,0.4378193455163129
2016-04-29,5320.0,-0.5748901490959007,0.08373205741626795,0.5125822199984081
2016-05-03,5255.0,-0.8417745731494501,0.06818181818181818,0.482277117281117
2016-05-04,5150.0,-1.0934153631699894,0.0430622009569378,0.45370295070516636
2016-05-05,5100.0,-1.0188027756457987,0.03110047846889952,0.46217531523877364
2016-05-06,5005.0,-1.1891296184004947,0.008373205741626795,0.4428344620454929
2016-05-09,5120.0,-1.1313983561260472,0.03588516746411483,0.44938992829059293
2016-05-10,5015.0,-0.9012734693984521,0.01076555023923445,0.47552093370545173
2016-05-11,5070.0,-2.286114654907592,0.023923444976076555,0.31827026415881254
2016-05-12,5100.0,-1.1350930474232002,0.03110047846889952,0.4489703908834701
2016-05-13,5045.0,-1.4812398474679718,0.017942583732057416,0.409664933594911
2016-05-16,5070.0,-1.3881197509867191,0.023923444976076555,0.4202388518702698
2016-05-17,5070.0,-1.5966450865506456,0.023923444976076555,0.39656050595018555
2016-05-18,5070.0,-1.0730944910359594,0.023923444976076555,0.4560104143929054
2016-05-19,5070.0,-1.246109262920055,0.023923444976076555,0.43636434305640737
2016-05-20,5170.0,-1.5825705100299163,0.04784688995215311,0.39815869396237724
2016-05-23,5165.0,-1.4121383730724981,0.04665071770334928,0.4175115034608652
2016-05-24,5140.0,-1.621827683611475,0.04066985645933014,0.393700986540902
2016-05-25,5120.0,-2.8371382443308386,0.03588516746411483,0.2557007585147835
2016-05-26,5115.0,-1.4250029869628564,0.034688995215311005,0.4160507084116667
2016-05-27,5075.0,-2.912712109255083,0.025119617224880382,0.24711923957678666
2016-05-30,5050.0,-1.1987285206338993,0.019138755980861243,0.4417444931603166
2016-05-31,5120.0,-1.5991389803631484,0.03588516746411483,0.3962773207908345
2016-06-01,5140.0,-1.8377327806730723,0.04066985645933014,0.3691846582956627
2016-06-02,5200.0,-1.6976745292897029,0.05502392344497608,0.3850884702533271
2016-06-03,5180.0,-1.7554138902950243,0.050239234449760764,0.3785320843859153
2016-06-06,5155.0,-2.0830337572509525,0.04425837320574163,0.3413303864766639
2016-06-07,5165.0,-1.463714510958198,0.04665071770334928,0.4116549602701929
2016-06-08,5170.0,-1.7311344546109166,0.04784688995215311,0.38128904854721496
2016-06-13,5090.0,-1.1281945695688789,0.028708133971291867,0.4497537227722064
2016-06-14,5050.0,-1.0937007373910352,0.019138755980861243,0.4536705460599259
2016-06-15,5020.0,-0.9722703840460141,0.011961722488038277,0.4674591339258835
2016-06-16,5005.0,-0.8657201929589199,0.008373205741626795,0.4795580583831366
2016-06-17,5010.0,-1.1795174237747612,0.009569377990430622,0.44392594030056337
2016-06-20,5105.0,-1.0707252243370096,0.03229665071770335,0.45627944796776077
2016-06-21,5230.0,-1.318873768650757,0.06220095693779904,0.4281018308166545
2016-06-22,5290.0,-0.987606742029402,0.07655502392344497,0.46571766884921617
2016-06-23,5365.0,-1.4222764255231979,0.09449760765550239,0.416360313308194
2016-06-24,5480.0,-0.6033722426586725,0.12200956937799043,0.5093480381083099
2016-06-27,5520.0,-2.2674861772184207,0.13157894736842105,0.3203855540706878
2016-06-28,5675.0,-1.5830930447351148,0.1686602870813397,0.3980993594097125
2016-06-29,5720.0,-2.630029485925237,0.17942583732057416,0.27921825010085327
2016-06-30,5685.0,-1.718204825196766,0.17105263157894737,0.3827572262008263
2016-07-01,5700.0,-2.5882631656196993,0.17464114832535885,0.28396087467128767
2016-07-04,5785.0,-1.4440588650900397,0.19497607655502391,0.4138868865773262
2016-07-05,5825.0,-1.482926236998606,0.20454545454545456,0.40947344168552563
