date,ICPI
2016-04-01,-0.24608387519119146
2016-04-02,0.017595250607466473
2016-04-03,-0.28347313216832026
2016-04-04,-0.5854022252176739
2016-04-05,0.05361518475625432
2016-04-06,-0.478198805969398
2016-04-07,-1.8013875524645793
2016-04-08,-0.6554988764384054
2016-04-09,-0.6140930071247083
2016-04-10,-0.08493789431154536
2016-04-11,-0.081090321187609
2016-04-12,-0.3616385984143676
2016-04-13,-0.7865391346280044
2016-04-14,-0.54563829621768
2016-04-15,-0.44161221569580855
2016-04-16,-0.3563983287955269
2016-04-17,-0.48015951105865196
2016-04-18,-0.04944240267179251
2016-04-19,-0.5947933060788815
2016-04-20,-1.8837415289516168
2016-04-21,-0.7729377812672891
2016-04-22,-0.14854191975603745
2016-04-23,-0.5251138379532095
2016-04-24,-0.6287771151804422
2016-04-25,-0.3674508350859595
2016-04-26,-0.4538320866718578
2016-04-27,-1.8779422697371984
2016-04-28,-1.233295661952228
2016-04-29,-0.5748901490959007
2016-04-30,-0.761414576565491
2016-05-01,-0.7853797364447073
2016-05-02,-0.5412367172960726
2016-05-03,-0.8417745731494501
2016-05-04,-1.0934153631699894
2016-05-05,-1.0188027756457987
2016-05-06,-1.1891296184004947
2016-05-07,-1.070206545160215
2016-05-08,-1.0210600379865062
2016-05-09,-1.1313983561260472
2016-05-10,-0.9012734693984521
2016-05-11,-2.286114654907592
2016-05-12,-1.1350930474232002
2016-05-13,-1.4812398474679718
2016-05-14,-1.8096407938241987
2016-05-15,-1.5041352112067983
2016-05-16,-1.3881197509867191
2016-05-17,-1.5966450865506456
2016-05-18,-1.0730944910359594
2016-05-19,-1.246109262920055
2016-05-20,-1.5825705100299163
2016-05-21,-1.269443095739123
2016-05-22,-1.1784212413924622
2016-05-23,-1.4121383730724981
2016-05-24,-1.621827683611475
2016-05-25,-2.8371382443308386
2016-05-26,-1.4250029869628564
2016-05-27,-2.912712109255083
2016-05-28,-1.733879714316911
2016-05-29,-1.361276167141133
2016-05-30,-1.1987285206338993
2016-05-31,-1.5991389803631484
2016-06-01,-1.8377327806730723
2016-06-02,-1.6976745292897029
2016-06-03,-1.7554138902950243
2016-06-04,-1.8927015297884187
2016-06-05,-1.936997215482978
2016-06-06,-2.0830337572509525
2016-06-07,-1.463714510958198
2016-06-08,-1.7311344546109166
2016-06-09,-0.4953782625615263
2016-06-10,-0.6980665366134242
2016-06-11,-1.0616154995144653
2016-06-12,-0.7218483969224595
2016-06-13,-1.1281945695688789
2016-06-14,-1.0937007373910352
2016-06-15,-0.9722703840460141
2016-06-16,-0.8657201929589199
2016-06-17,-1.1795174237747612
2016-06-18,-0.8686900393082551
2016-06-19,-0.8852183036761967
2016-06-20,-1.0707252243370096
2016-06-21,-1.318873768650757
2016-06-22,-0.987606742029402
2016-06-23,-1.4222764255231979
2016-06-24,-0.6033722426586725
2016-06-25,-1.2806232938590747
2016-06-26,-1.5203567432502627
2016-06-27,-2.2674861772184207
2016-06-28,-1.5830930447351148
